step,l_sem,l_rec,acc,acc_updated
0,0.001562240649946034,2.4546382427215576,0.546875,True
1,60.861690521240234,1.669549822807312,0.546875,False
2,90.61454772949219,0.8778187036514282,0.546875,False
3,130.0094451904297,0.6879284381866455,0.546875,False
4,118.98182678222656,0.7688800692558289,0.546875,False
5,136.77601623535156,0.6612178683280945,0.671875,True
6,127.10072326660156,0.628962516784668,0.671875,False
7,165.43763732910156,0.4273132085800171,0.671875,False
8,158.3867645263672,0.5036563873291016,0.671875,False
9,185.60720825195312,0.42546433210372925,0.671875,False
10,194.07249450683594,0.5288259387016296,0.734375,True
11,202.54177856445312,0.382703959941864,0.734375,False
12,181.4709930419922,0.29243242740631104,0.734375,False
13,206.51031494140625,0.25925078988075256,0.734375,False
14,195.29530334472656,0.37999922037124634,0.734375,False
15,187.47988891601562,0.20710307359695435,0.796875,True
16,186.9193878173828,0.21542388200759888,0.796875,False
17,208.1295166015625,0.30030494928359985,0.796875,False
18,214.44871520996094,0.28302550315856934,0.796875,False
19,202.60256958007812,0.21279489994049072,0.796875,False
20,231.20057678222656,0.2226281613111496,0.8125,True
21,177.0166015625,0.18861353397369385,0.8125,False
22,188.93411254882812,0.22269968688488007,0.8125,False
23,202.8404083251953,0.22337031364440918,0.8125,False
24,208.01927185058594,0.22969721257686615,0.8125,False
25,201.94407653808594,0.18684813380241394,0.796875,True
26,218.2229461669922,0.17794334888458252,0.796875,False
27,231.1492462158203,0.2132248878479004,0.796875,False
28,200.3382568359375,0.2459801882505417,0.796875,False
29,206.15823364257812,0.17756393551826477,0.796875,False
30,217.7504119873047,0.1860646903514862,0.796875,True
31,215.34652709960938,0.16254892945289612,0.796875,False
32,198.51319885253906,0.19201290607452393,0.796875,False
33,221.17213439941406,0.1782378852367401,0.796875,False
34,204.97781372070312,0.17464832961559296,0.796875,False
35,209.65672302246094,0.19415031373500824,0.90625,True
36,221.4753875732422,0.1790596842765808,0.90625,False
37,189.99501037597656,0.17068541049957275,0.90625,False
38,209.2643280029297,0.21342971920967102,0.90625,False
39,210.67079162597656,0.14209339022636414,0.90625,False
40,219.2725830078125,0.16770993173122406,0.796875,True
41,201.6907196044922,0.17430178821086884,0.796875,False
42,183.0135040283203,0.19920867681503296,0.796875,False
43,228.26321411132812,0.15025314688682556,0.796875,False
44,212.5615997314453,0.17573857307434082,0.796875,False
45,204.56431579589844,0.1489395797252655,0.796875,True
46,183.907958984375,0.13661232590675354,0.796875,False
47,209.43621826171875,0.14639532566070557,0.796875,False
48,197.9241180419922,0.1654719114303589,0.796875,False
49,185.72755432128906,0.1330791413784027,0.796875,False
50,207.85894775390625,0.1614692062139511,0.875,True
51,189.6515655517578,0.14585456252098083,0.875,False
52,166.82130432128906,0.14631566405296326,0.875,False
53,209.2887420654297,0.14388734102249146,0.875,False
54,182.17738342285156,0.1614833027124405,0.875,False
55,186.52761840820312,0.140027716755867,0.796875,True
56,217.66519165039062,0.1971432864665985,0.796875,False
57,202.92189025878906,0.1643698811531067,0.796875,False
58,187.25497436523438,0.12549851834774017,0.796875,False
59,238.63369750976562,0.18594220280647278,0.796875,False
60,205.50994873046875,0.20315533876419067,0.828125,True
61,190.70782470703125,0.18890997767448425,0.828125,False
62,229.1309814453125,0.17707251012325287,0.828125,False
63,195.55264282226562,0.1507377028465271,0.828125,False
64,188.712158203125,0.15440316498279572,0.828125,False
65,186.57110595703125,0.15490715205669403,0.8125,True
66,196.25296020507812,0.15781235694885254,0.8125,False
67,196.3281707763672,0.1751137226819992,0.8125,False
68,231.29006958007812,0.21611854434013367,0.8125,False
69,221.05799865722656,0.1764606237411499,0.8125,False
70,189.516357421875,0.1877257078886032,0.859375,True
71,226.6795196533203,0.17956531047821045,0.859375,False
72,193.85682678222656,0.13123874366283417,0.859375,False
73,199.9134521484375,0.1612517535686493,0.859375,False
74,223.67857360839844,0.15967829525470734,0.859375,False
75,183.27476501464844,0.14954742789268494,0.890625,True
76,202.51206970214844,0.12816087901592255,0.890625,False
77,194.59909057617188,0.1510310173034668,0.890625,False
78,207.77273559570312,0.15821236371994019,0.890625,False
79,192.0697479248047,0.1705811321735382,0.890625,False
80,198.20899963378906,0.16464897990226746,0.828125,True
81,206.13673400878906,0.15975350141525269,0.828125,False
82,218.66921997070312,0.18352285027503967,0.828125,False
83,208.2043914794922,0.1364491879940033,0.828125,False
84,194.85765075683594,0.1564251184463501,0.828125,False
85,181.32135009765625,0.128402441740036,0.875,True
86,202.75086975097656,0.16018950939178467,0.875,False
87,203.2902069091797,0.13850654661655426,0.875,False
88,193.2422637939453,0.16216586530208588,0.875,False
89,191.7274169921875,0.11931013315916061,0.875,False
90,198.6848907470703,0.1316160410642624,0.828125,True
91,191.09202575683594,0.14888358116149902,0.828125,False
92,195.0733184814453,0.13282932341098785,0.828125,False
93,179.26307678222656,0.1610337197780609,0.828125,False
94,208.6499481201172,0.1637459546327591,0.828125,False
95,193.93592834472656,0.128438800573349,0.890625,True
96,194.5819091796875,0.13218162953853607,0.890625,False
97,182.45037841796875,0.17803911864757538,0.890625,False
98,208.10789489746094,0.19695930182933807,0.890625,False
99,223.11911010742188,0.16525599360466003,0.890625,False
