step,l_sem,l_rec,acc,acc_updated
0,-0.0006926007336005569,2.454636335372925,0.390625,True
1,37.92414474487305,1.4373693466186523,0.390625,False
2,37.83656311035156,0.8384835124015808,0.390625,False
3,22.828153610229492,0.684302568435669,0.390625,False
4,28.608556747436523,0.6386890411376953,0.390625,False
5,51.88090515136719,0.6574552059173584,0.5625,True
6,76.67792510986328,0.6210118532180786,0.5625,False
7,72.19700622558594,0.41676998138427734,0.5625,False
8,80.09088897705078,0.25248461961746216,0.5625,False
9,93.90409851074219,0.20859068632125854,0.5625,False
10,95.46160125732422,0.17255696654319763,0.84375,True
11,103.433349609375,0.17475049197673798,0.84375,False
12,93.33162689208984,0.13793259859085083,0.84375,False
13,117.71892547607422,0.12524259090423584,0.84375,False
14,120.56548309326172,0.10673656314611435,0.84375,False
15,103.8691635131836,0.08277904242277145,0.84375,True
16,102.59772491455078,0.08395209163427353,0.84375,False
17,107.51046752929688,0.08884354680776596,0.84375,False
18,110.61363220214844,0.06774198263883591,0.84375,False
19,114.32434844970703,0.07202724367380142,0.84375,False
20,116.66921997070312,0.03513465076684952,0.8125,True
21,119.68228912353516,0.04532500356435776,0.8125,False
22,122.2763671875,0.09884172677993774,0.8125,False
23,121.99417877197266,0.04139960557222366,0.8125,False
24,125.33405303955078,0.06345441937446594,0.8125,False
25,104.6157455444336,0.05206969007849693,0.90625,True
26,110.11883544921875,0.0515233539044857,0.90625,False
27,120.85939025878906,0.05742776021361351,0.90625,False
28,121.85261535644531,0.03155290707945824,0.90625,False
29,131.55923461914062,0.07459957152605057,0.90625,False
30,111.46697235107422,0.029479313641786575,0.8125,True
31,129.33062744140625,0.04715495556592941,0.8125,False
32,113.43970489501953,0.05025213211774826,0.8125,False
33,114.02811431884766,0.04718422517180443,0.8125,False
34,125.971923828125,0.024683184921741486,0.8125,False
35,106.47980499267578,0.05833166092634201,0.9375,True
36,114.7557144165039,0.029298599809408188,0.9375,False
37,121.46746826171875,0.04380810260772705,0.9375,False
38,110.5350341796875,0.052512239664793015,0.9375,False
39,117.1939926147461,0.033737681806087494,0.9375,False
40,107.54547119140625,0.0679488554596901,0.953125,True
41,126.16514587402344,0.04838436096906662,0.953125,False
42,111.92965698242188,0.02401421032845974,0.953125,False
43,112.67127990722656,0.05574456602334976,0.953125,False
44,120.3681411743164,0.022194400429725647,0.953125,False
45,120.70513916015625,0.06614138185977936,0.90625,True
46,117.61408233642578,0.039693884551525116,0.90625,False
47,109.00735473632812,0.0660979300737381,0.90625,False
48,113.66191864013672,0.060530658811330795,0.90625,False
49,111.9644546508789,0.02527780830860138,0.90625,False
50,101.67399597167969,0.08580829948186874,0.8125,True
51,104.16559600830078,0.03546924144029617,0.8125,False
52,115.41880798339844,0.06997659802436829,0.8125,False
53,115.2336196899414,0.013960812240839005,0.8125,False
54,105.355224609375,0.017747286707162857,0.8125,False
55,112.94357299804688,0.030814658850431442,0.921875,True
56,110.95276641845703,0.018157996237277985,0.921875,False
57,101.833740234375,0.0473586767911911,0.921875,False
58,110.63383483886719,0.04350407049059868,0.921875,False
59,120.51677703857422,0.05738678574562073,0.921875,False
60,125.90977478027344,0.017196621745824814,0.890625,True
61,100.45950317382812,0.04684365913271904,0.890625,False
62,92.5793685913086,0.06983177363872528,0.890625,False
63,106.13648223876953,0.04079623520374298,0.890625,False
64,110.8892822265625,0.07174264639616013,0.890625,False
65,118.48817443847656,0.017808442935347557,0.875,True
66,96.3410873413086,0.03486880287528038,0.875,False
67,104.35188293457031,0.05699778348207474,0.875,False
68,119.40989685058594,0.020790494978427887,0.875,False
69,108.02851867675781,0.025442540645599365,0.875,False
70,116.4366683959961,0.04538853093981743,0.765625,True
71,109.3322525024414,0.03153987228870392,0.765625,False
72,97.45647430419922,0.025728896260261536,0.765625,False
73,105.33038330078125,0.04606126993894577,0.765625,False
74,121.09856414794922,0.020453887060284615,0.765625,False
75,120.83368682861328,0.09083690494298935,0.875,True
76,84.18067932128906,0.04632636159658432,0.875,False
77,103.53054809570312,0.04545331001281738,0.875,False
78,110.45014190673828,0.034368470311164856,0.875,False
79,97.7445068359375,0.0749826729297638,0.875,False
80,112.4359359741211,0.03516889736056328,0.921875,True
81,107.06845092773438,0.05717449635267258,0.921875,False
82,121.0701675415039,0.02968183532357216,0.921875,False
83,116.30708312988281,0.04332626610994339,0.921875,False
84,117.18441009521484,0.054089900106191635,0.921875,False
85,110.12600708007812,0.05901839956641197,0.9375,True
86,107.98242950439453,0.03196495398879051,0.9375,False
87,119.2686538696289,0.039022669196128845,0.9375,False
88,106.14091491699219,0.05835103988647461,0.9375,False
89,105.85137939453125,0.07758820056915283,0.9375,False
90,86.55951690673828,0.062189988791942596,0.875,True
91,111.81195068359375,0.02626570127904415,0.875,False
92,100.50643920898438,0.050171028822660446,0.875,False
93,101.20987701416016,0.04912547394633293,0.875,False
94,104.33062744140625,0.04610372707247734,0.875,False
95,112.22723388671875,0.05946613848209381,0.875,True
96,112.7196044921875,0.02050994150340557,0.875,False
97,112.868408203125,0.032380785793066025,0.875,False
98,99.17572784423828,0.03833906352519989,0.875,False
99,98.72865295410156,0.05434032902121544,0.875,False
