step,l_sem,l_rec,acc,acc_updated
0,-5.9553909522946924e-05,2.4285950660705566,0.546875,True
1,25.8663330078125,1.519029140472412,0.546875,False
2,30.70806884765625,0.8325632810592651,0.546875,False
3,26.253324508666992,0.7171053886413574,0.546875,False
4,38.16289520263672,1.0059455633163452,0.546875,False
5,44.75373458862305,0.9273087382316589,0.53125,True
6,95.99404907226562,0.8074784278869629,0.53125,False
7,91.00792694091797,0.692119300365448,0.53125,False
8,143.67160034179688,0.6082512736320496,0.53125,False
9,146.48739624023438,0.49672991037368774,0.53125,False
10,123.02752685546875,0.35657060146331787,0.546875,True
11,168.96665954589844,0.4458123445510864,0.546875,False
12,200.3612060546875,0.4444426894187927,0.546875,False
13,237.36767578125,0.40338069200515747,0.546875,False
14,139.20306396484375,0.4506872296333313,0.546875,False
15,99.69029998779297,0.3307713270187378,0.515625,True
16,257.5013427734375,0.5483452081680298,0.515625,False
17,199.635498046875,0.45425915718078613,0.515625,False
18,173.36216735839844,0.45197540521621704,0.515625,False
19,229.42929077148438,0.4851299524307251,0.515625,False
20,188.52337646484375,0.3660036027431488,0.6875,True
21,250.8712615966797,0.41739973425865173,0.6875,False
22,254.52040100097656,0.4203653931617737,0.6875,False
23,192.8773193359375,0.39834892749786377,0.6875,False
24,234.7812957763672,0.39516520500183105,0.6875,False
25,217.18077087402344,0.3793732523918152,0.625,True
26,243.66552734375,0.44033342599868774,0.625,False
27,198.4484100341797,0.4332338571548462,0.625,False
28,188.91136169433594,0.3707858920097351,0.625,False
29,207.38412475585938,0.3606202006340027,0.625,False
30,177.3712921142578,0.3654962182044983,0.53125,True
31,206.50247192382812,0.3575451374053955,0.53125,False
32,195.711669921875,0.3949877619743347,0.53125,False
33,136.9171905517578,0.37800711393356323,0.53125,False
34,198.99880981445312,0.392845094203949,0.53125,False
35,109.97834014892578,0.3358744978904724,0.6875,True
36,102.1314697265625,0.351963609457016,0.6875,False
37,192.95591735839844,0.3647059202194214,0.6875,False
38,193.89710998535156,0.4135565459728241,0.6875,False
39,140.8834228515625,0.37300556898117065,0.6875,False
40,188.33164978027344,0.37033089995384216,0.625,True
41,202.8227081298828,0.3518533706665039,0.625,False
42,176.29592895507812,0.4010939300060272,0.625,False
43,232.86366271972656,0.36553043127059937,0.625,False
44,208.47500610351562,0.4158925712108612,0.625,False
45,211.013671875,0.4119652211666107,0.59375,True
46,218.1581268310547,0.4004967212677002,0.59375,False
47,135.302490234375,0.36687350273132324,0.59375,False
48,209.7615509033203,0.4183174967765808,0.59375,False
49,214.5139923095703,0.3885995149612427,0.59375,False
50,172.20474243164062,0.3995918035507202,0.609375,True
51,193.36862182617188,0.39279279112815857,0.609375,False
52,174.42527770996094,0.3391910195350647,0.609375,False
53,175.1315460205078,0.3776472806930542,0.609375,False
54,158.4794921875,0.38103875517845154,0.609375,False
55,213.794921875,0.3852314352989197,0.5,True
56,174.4547119140625,0.3444778323173523,0.5,False
57,231.96481323242188,0.3977545201778412,0.5,False
58,191.75262451171875,0.38813769817352295,0.5,False
59,181.59420776367188,0.3753166198730469,0.5,False
60,219.01358032226562,0.38825294375419617,0.671875,True
61,145.93580627441406,0.33184823393821716,0.671875,False
62,150.83154296875,0.3429966866970062,0.671875,False
63,152.96311950683594,0.345071017742157,0.671875,False
64,205.53668212890625,0.3900122046470642,0.671875,False
65,231.66796875,0.4317913055419922,0.65625,True
66,206.7915802001953,0.38501057028770447,0.65625,False
67,194.25778198242188,0.381379097700119,0.65625,False
68,251.69642639160156,0.43263161182403564,0.65625,False
69,162.29989624023438,0.4011105000972748,0.65625,False
70,221.72503662109375,0.3750374913215637,0.578125,True
71,160.55833435058594,0.3960970640182495,0.578125,False
72,170.20103454589844,0.372956246137619,0.578125,False
73,190.42990112304688,0.33823782205581665,0.578125,False
74,166.13809204101562,0.361363023519516,0.578125,False
75,166.56639099121094,0.34703588485717773,0.59375,True
76,192.10601806640625,0.40486961603164673,0.59375,False
77,219.96620178222656,0.38802847266197205,0.59375,False
78,146.45343017578125,0.36254653334617615,0.59375,False
79,159.30828857421875,0.35824042558670044,0.59375,False
80,198.36788940429688,0.4037479758262634,0.6875,True
81,189.34947204589844,0.3884851932525635,0.6875,False
82,177.4534454345703,0.38977575302124023,0.6875,False
83,209.92001342773438,0.3984689712524414,0.6875,False
84,251.005126953125,0.39892467856407166,0.6875,False
85,212.19601440429688,0.36614951491355896,0.671875,True
86,203.2895050048828,0.37348589301109314,0.671875,False
87,123.88410186767578,0.37740105390548706,0.671875,False
88,184.14874267578125,0.3971295952796936,0.671875,False
89,206.88638305664062,0.41087305545806885,0.671875,False
90,217.34580993652344,0.38980457186698914,0.71875,True
91,232.32638549804688,0.36152327060699463,0.71875,False
92,193.75885009765625,0.41472381353378296,0.71875,False
93,181.10476684570312,0.35592222213745117,0.71875,False
94,227.81588745117188,0.4003942012786865,0.71875,False
95,198.4742431640625,0.4052576422691345,0.734375,True
96,184.8124542236328,0.3524915874004364,0.734375,False
97,228.25881958007812,0.40267860889434814,0.734375,False
98,163.98184204101562,0.39658674597740173,0.734375,False
99,150.25753784179688,0.37259191274642944,0.734375,False
